tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
29370,49,48.2989875526557,74.6454894087577,47.5664092073262,46.5319925975888,45.4738985223413,46.0822075522882,74.6454894087577,74.6454894087577,0.01,0.01,48.54458999633789
29380,49,47.7273754623121,0.01,48.2989875526557,47.5664092073262,46.5319925975888,45.4738985223413,74.6454894087577,74.6454894087577,74.6454894087577,0.01,47.53584671020508
29390,49,47.0163404605213,0.01,47.7273754623121,48.2989875526557,47.5664092073262,46.5319925975888,0.01,74.6454894087577,74.6454894087577,74.6454894087577,46.98358917236328
29400,49,46.3068723496274,0.01,47.0163404605213,47.7273754623121,48.2989875526557,47.5664092073262,0.01,0.01,74.6454894087577,74.6454894087577,46.23736572265625
29410,49,46.9149221975528,65.2853253132857,46.3068723496274,47.0163404605213,47.7273754623121,48.2989875526557,0.01,0.01,0.01,74.6454894087577,46.96369171142578
29420,49,47.6501799930029,65.2853253132857,46.9149221975528,46.3068723496274,47.0163404605213,47.7273754623121,65.2853253132857,0.01,0.01,0.01,47.610111236572266
29430,49,48.2901858289695,65.2853253132857,47.6501799930029,46.9149221975528,46.3068723496274,47.0163404605213,65.2853253132857,65.2853253132857,0.01,0.01,48.30223083496094
29440,49,47.6108499385479,0.01,48.2901858289695,47.6501799930029,46.9149221975528,46.3068723496274,65.2853253132857,65.2853253132857,65.2853253132857,0.01,47.5478515625
29450,49,46.8713798247265,0.01,47.6108499385479,48.2901858289695,47.6501799930029,46.9149221975528,0.01,65.2853253132857,65.2853253132857,65.2853253132857,46.84437561035156
29460,49,46.1252285481618,0.01,46.8713798247265,47.6108499385479,48.2901858289695,47.6501799930029,0.01,0.01,65.2853253132857,65.2853253132857,46.085227966308594
29470,49,46.9276379955265,66.7519610203335,46.1252285481618,46.8713798247265,47.6108499385479,48.2901858289695,0.01,0.01,0.01,65.2853253132857,46.866722106933594
29480,49,47.7182411736416,66.7519610203335,46.9276379955265,46.1252285481618,46.8713798247265,47.6108499385479,66.7519610203335,0.01,0.01,0.01,47.64286804199219
29490,49,48.4248463622712,66.7519610203335,47.7182411736416,46.9276379955265,46.1252285481618,46.8713798247265,66.7519610203335,66.7519610203335,0.01,0.01,48.41370391845703
29500,49,47.6849122013184,0.01,48.4248463622712,47.7182411736416,46.9276379955265,46.1252285481618,66.7519610203335,66.7519610203335,66.7519610203335,0.01,47.693233489990234
